start	end	text
535000	537000	and Relay for
537000	539000	data access and that worked pretty
539000	541000	well but what ends up
541000	543000	happening is you
543000	545000	you push more and more code
545000	547000	to the client
547000	549000	and so like the client bundle really
549000	551000	grows but that's
551000	553000	also not the whole story it's like
553000	555000	you also push a lot
555000	557000	data like the traditional kind
557000	559000	of rich client architecture
559000	561000	is you push all the data
561000	563000	that you might kind of plausibly
563000	565000	need into a client cache
565000	567000	and then your components pick parts
567000	569000	of the data and somehow massage it
569000	571000	and so what you
571000	573000	the problem you kind of run into
573000	575000	you know as you scale it up is
575000	577000	you end
577000	579000	up having all the data
579000	581000	and all the code you might possibly need
581000	583000	even if actually
583000	585000	it's not needed for the specific
585000	587000	case and
587000	589000	like a canonical
589000	591000	example of this could be
591000	593000	you know like when you want
593000	595000	to show you know a post was
595000	597000	liked by
597000	599000	like your friend
599000	601000	like I don't know
601000	603000	Dan and like Anna
603000	605000	and like five others
605000	607000	something like this and so you don't
607000	609000	actually need for example
609000	611000	their avatars
611000	613000	or
613000	615000	and like you need like very specific bits
615000	617000	of information and really like it's just
617000	619000	you don't even need like the links to their
619000	621000	profiles it's really
621000	623000	just the string that you want to get
623000	625000	but even though the GraphQL
625000	627000	of course like GraphQL lets you be very selective
627000	629000	about what you fetch
629000	631000	and like how you use it so it does
631000	633000	solve this problem partially
633000	635000	but you still
635000	637000	the shape of the data you
637000	639000	download is dictated by the GraphQL
639000	641000	endpoint and so if you
641000	643000	like transform a bunch of
643000	645000	stuff and
645000	647000	get you know like get something
647000	649000	that you know just the
649000	651000	data for the UI layer you kind of
651000	653000	have to do it on the client
653000	655000	and this problem
655000	657000	it's like an inefficiency problem
657000	659000	I think that's like one way
659000	661000	you know one way to think of this is like
661000	663000	we'd like to optimize it so
663000	665000	that like the natural way
665000	667000	to optimize it if you think about it is
667000	669000	okay like you're on the server anyway
669000	671000	why not have some kind of
671000	673000	abstraction kind of like view models
673000	675000	that used to be like a thing
675000	677000	in I don't know 20
677000	679000	2010 or something like this there was
679000	681000	this idea of like view models that
681000	683000	massage the actual model from the
683000	685000	database for the view kind of
685000	687000	preparing just what the view
687000	689000	needs
689000	691000	and I think that's one
691000	693000	angle and it doesn't
693000	695000	have to do like I also want to clarify
695000	697000	it doesn't have to do with like just like big
697000	699000	pages or anything like
699000	701000	a classic kind of low
701000	703000	scale example of this is a documentation
703000	705000	website where you
705000	707000	have like you have many
707000	709000	MDX components
709000	711000	like you know code
711000	713000	snippets or interactive code
713000	715000	editor and so on and
715000	717000	the way you would do this today
717000	719000	probably is you just have
719000	721000	like all of them in a single
721000	723000	bundle and then like all of them get
723000	725000	loaded but ideally what you want
725000	727000	is like if a page has no
727000	729000	interactive code snippets and also
729000	731000	only has like static code
731000	733000	examples you probably don't want to like
733000	735000	download the parser you kind of want to have
735000	737000	that output instead
737000	739000	so I think like that is like
739000	741000	one part of it is this idea
741000	743000	like let's not download the data
743000	745000	we're not going to need let's not
745000	747000	download the code we might
747000	749000	not need let's
749000	751000	just you know download
751000	753000	the things that we actually do need and then
753000	755000	if you need to like pre-process a bunch of stuff
755000	757000	we'll just do that on the server because
757000	759000	we're going to the server anyway
759000	761000	why not do it there
761000	763000	but I think another
763000	765000	way to look at it is just from the
765000	767000	mental model perspective
767000	769000	so if you've been coding
769000	771000	you know like for a while
771000	773000	like especially like before
773000	775000	like before all the client
775000	777000	stuff explosion
777000	779000	which you know it was warranted like people
779000	781000	wanted to do more stuff on the client
781000	783000	because they wanted to have like
783000	785000	zero latency
785000	787000	for like interactions and like really
787000	789000	reach interactions without reloading the page
789000	791000	but then if you think in terms of
791000	793000	like mental model
793000	795000	kind of thinking in terms of
795000	797000	like state management and
797000	799000	caching and like all of this stuff
799000	801000	it gets really complicated
801000	803000	like how do you even know like what to
803000	805000	fetch for the next page how do you
805000	807000	avoid waterfalls
807000	809000	like it gets pretty complex and then if you
809000	811000	think of like the way we used to write
811000	813000	web apps in you know
813000	815000	in 2000s before
815000	817000	like in traditional server
817000	819000	client model the mental model is
819000	821000	so much simpler because you just describe
821000	823000	like I'm going to go to the database
823000	825000	I'm going to fetch these different things I'm going to spit
825000	827000	out this response and then
827000	829000	if you want to like go to another page
829000	831000	that cycle repeats again
831000	833000	and so I think like server components
833000	835000	is you know kind of this idea of
835000	837000	let's keep the user
837000	839000	experience where like things
839000	841000	don't you know you don't reload the page
841000	843000	all the time but let's
843000	845000	keep also like the mental model
845000	847000	of the kind of traditional
847000	849000	request response
849000	851000	where you just
851000	853000	describe what you want to see on the page
853000	855000	and then it somehow reconciles
855000	857000	and also like
857000	859000	let's while we're here why
859000	861000	not like apply a bunch of optimizations
861000	863000	now that we know you know like let's not download
863000	865000	more code than we need let's not
865000	867000	download more data and so
867000	869000	in terms of like historical scale
869000	871000	I think we so we
871000	873000	started with this
873000	875000	I think like idea of
875000	877000	and we knew we also knew that
877000	879000	you know this approach was also
879000	881000	not new exactly it was more about
881000	883000	bringing it to react
883000	885000	because for
885000	887000	like we've had
887000	889000	at Facebook we've had XHP
889000	891000	so this is
891000	893000	Wait what is XHP?
893000	895000	It's sort of like an alternative universe
895000	897000	and I think we're kind of
897000	899000	seeing this again with
899000	901000	you know like when JSX was weird
901000	903000	to everyone when react came out
903000	905000	and we didn't even realize that it
905000	907000	would be controversial
907000	909000	I think like with server components maybe
909000	911000	it's a little bit similar because
911000	913000	the thing we had
913000	915000	before react
915000	917000	the way like the
917000	919000	Facebook website was built
919000	921000	was with like PHP and later
921000	923000	changed to hack
923000	925000	but we have this syntax for
925000	927000	defining
927000	929000	components there
929000	931000	so it was a very different
931000	933000	mindset from
933000	935000	I guess dominant solutions like
935000	937000	Rails or
937000	939000	you know like the old school
939000	941000	server solutions
941000	943000	like in the open source
943000	945000	XHP was pretty different because it felt
945000	947000	more like react as in
947000	949000	you have no like there are no
949000	951000	additional controllers in
951000	953000	this kind of MVC sense
953000	955000	it's more like there's a component
955000	957000	tree, components can be
957000	959000	asynchronous so they can like fetch
959000	961000	some data and then return what they render
961000	963000	and you can compose them
963000	965000	and you can have your own components
965000	967000	and so this is actually like
967000	969000	where JSX came from
969000	971000	is like people writing XHP
971000	973000	code wanted to keep writing
973000	975000	something similar like on the client
975000	977000	but the problem with that paradigm is that
977000	979000	it couldn't refresh
979000	981000	without like losing the entire page
981000	983000	and so
983000	985000	we had this thing as inspiration
985000	987000	and we also had
987000	989000	our native apps also kind of worked
989000	991000	like at least some
991000	993000	parts of them worked with that model where
993000	995000	the actual logic for how
995000	997000	to massage data and like turn it
997000	999000	into UI tree was on the server
999000	1001000	it was written in XHP
1001000	1003000	Is that kind of like PHP?
1003000	1005000	I mean I see the similarity
1005000	1007000	conceptually of just like you're
1007000	1009000	wild-westing your database queries here
1009000	1011000	you're turning that into server markup
1011000	1013000	and then you're sending it down. It's just there was no
1013000	1015000	like server-client relationship yet
1015000	1017000	so I kind of see that React like took that
1017000	1019000	bit out, the templating was the good part
1019000	1021000	let's do the client thing first because that's
1021000	1023000	kind of a no-brainer of like yeah that's
1023000	1025000	like the end of the spectrum
1025000	1027000	that's what you need and now
1027000	1029000	we're kind of cycling back
1029000	1031000	when we realized oh yeah we probably could
1031000	1033000	have a dynamic setup here
1033000	1035000	yeah I think it's
1035000	1037000	it's just that we already
1037000	1039000	had a solution to the server part
1039000	1041000	and like XHP was actually
1041000	1043000	pretty sophisticated so
1043000	1045000	there was another part that was
1045000	1047000	related to it called BigPipe
1047000	1049000	which we you know like we published
1049000	1051000	an article about it in
1051000	1053000	2011 maybe
1053000	1055000	and it's just
1055000	1057000	this idea that if you have
1057000	1059000	this kind of like asynchronous
1059000	1061000	component abstraction on the server
1061000	1063000	you also don't want to
1063000	1065000	like hold the entire page
1065000	1067000	before starting to
1067000	1069000	like emit output
1069000	1071000	and I was actually
1071000	1073000	surprised like I learned that in
1073000	1075000	PHP or Rails like you would
1075000	1077000	usually just you know
1077000	1079000	fetch everything and kind of then
1079000	1081000	start rendering and like that's
1081000	1083000	not efficient
1083000	1085000	and so yeah
1085000	1087000	so the way like BigPipe worked is that
1087000	1089000	it had this ability to chunk
1089000	1091000	the page like your feed your
1091000	1093000	like I don't know like the sidebar
1093000	1095000	something else those could be
1095000	1097000	parallelized
1097000	1099000	so like all of them could have some data
1099000	1101000	dependencies but we could stream
1101000	1103000	kind of the initial shell and then fill
1103000	1105000	them in and so we wanted to bring
1105000	1107000	like so I think like we had
1107000	1109000	these solutions
1109000	1111000	but then we needed client
1111000	1113000	interactivity and so React
1113000	1115000	kind of started solving that
1115000	1117000	and then as we kind of did more
1117000	1119000	with React
1119000	1121000	there was like this split between
1121000	1123000	technologies that became very noticeable
1123000	1125000	because they did not really
1125000	1127000	integrate well
1127000	1129000	no they were used together
1129000	1131000	so you could in XHP
1131000	1133000	you could render a React component
1133000	1135000	but this would only
1135000	1137000	work kind of once so this
1137000	1139000	would just say you know like
1139000	1141000	in this like tree
1141000	1143000	when it loads on the client like put
1143000	1145000	this React component there but then there
1145000	1147000	was no way to update the tree because
1147000	1149000	it was just HTML in the end
1149000	1151000	so there was no
1151000	1153000	way to kind of refresh it without losing
1153000	1155000	the page
1155000	1157000	okay so there was no
1157000	1159000	like client side routing story
1159000	1161000	is kind of the big part there
1161000	1163000	yeah well it's not just
1163000	1165000	routing necessarily it's just there was no
1165000	1167000	way to refresh the server
1167000	1169000	output without like losing everything
1169000	1171000	and so
1171000	1173000	I think the
1173000	1175000	yeah so I think
1175000	1177000	the story kind of
1177000	1179000	it really became
1179000	1181000	I think like
1181000	1183000	the way to explain it
1183000	1185000	conceptually
1185000	1187000	makes more
1187000	1189000	sense like if you do this in a different
1189000	1191000	order then things actually happen
1191000	1193000	chronologically yeah it does make
1193000	1195000	sense because server components are like it's fitting
1195000	1197000	this thing that's actually a new starting
1197000	1199000	point instead of a new feature
1199000	1201000	so it's like if you want to use it
1201000	1203000	properly you
1203000	1205000	refactor from the top you're not refactoring
1205000	1207000	by just let's add a server component right here
1207000	1209000	and see how it goes exactly
1209000	1211000	yeah and I think it's because
1211000	1213000	like we've already like we've had a piece
1213000	1215000	you know that works on the server so we did
1215000	1217000	the client part and now okay let's
1217000	1219000	rethink the server piece
1219000	1221000	to work with the client part seamlessly
1221000	1223000	because we now know you know the entire
1223000	1225000	like how to fit them
1225000	1227000	together and so that
1227000	1229000	took a long time and I think like suspense
1229000	1231000	is especially interesting as a feature
1231000	1233000	because the original
1233000	1235000	the
1235000	1237000	motivation for his design which
1237000	1239000	I think was in like 2016 or
1239000	1241000	2017 yeah was
1241000	1243000	like how do we adopt this
1243000	1245000	big pipe architecture like
1245000	1247000	this idea of streaming things
1247000	1249000	in and like having them kind of appear
1249000	1251000	as they're ready like
1251000	1253000	how do we fit this into React
1253000	1255000	server rendering model
1255000	1257000	and so we started there that let
1257000	1259000	that let the like design of suspense
1259000	1261000	then but the first
1261000	1263000	way we shift suspense was actually on the client
1263000	1265000	only and it was not supported for
1265000	1267000	SSR because we didn't have a streaming
1267000	1269000	server render yet and then we did like
1269000	1271000	streaming server rendering and then
1271000	1273000	we realized actually this still leads
1273000	1275000	to waterfalls because like then
1275000	1277000	your app lives on the client
1277000	1279000	and you need to somehow prevent
1279000	1281000	client server waterfalls
1281000	1283000	and so then we're like okay maybe we need like
1283000	1285000	to actually like do something like
1285000	1287000	XFP first or you know like
1287000	1289000	do something that actually lets you avoid
1289000	1291000	client server waterfalls
1291000	1293000	and this idea of like splitting
1293000	1295000	components into two types
1295000	1297000	was actually using like
1297000	1299000	almost the same mechanism as
1299000	1301000	Sebastian explored in
1301000	1303000	2015 but for
1303000	1305000	using Reacting workers
1305000	1307000	so it's
1307000	1309000	exactly the same idea but applied
1309000	1311000	like a different so it's like many things
1311000	1313000	came together that were developed
1313000	1315000	in like in different years and
1315000	1317000	now like we have this consistent vision
1317000	1319000	but it's it's a bit hard
1319000	1321000	to unpack how it happened exactly
1321000	1323000	it yeah and it's
1323000	1325000	it's cool to hear the context of like
1325000	1327000	where this was born inside
1327000	1329000	of Facebook because it starts
1329000	1331000	to make a little more sense with that I just know it
1331000	1333000	as like an outsider that used
1333000	1335000	React first with create React app
1335000	1337000	then with Next.js and just kind of learn
1337000	1339000	patterns from there for small scale things
1339000	1341000	without ever really thinking about the server
1341000	1343000	it was like I learned about client stuff
1343000	1345000	then I learned about SSR and now
1345000	1347000	I'm pushing everything that I can to the server
1347000	1349000	it's backwards from how like
1349000	1351000	the progress of web
1351000	1353000	dev happened like it started with Rails
1353000	1355000	and then we started exploring client side
1355000	1357000	but I'm like in a generation
1357000	1359000	that started with Angular 1 like
1359000	1361000	I was middle school before
1361000	1363000	that so I just didn't even know what was
1363000	1365000	going on in web dev before that
1365000	1367000	so it's just different
1367000	1369000	yeah I guess the other
1369000	1371000	thing that's like relevant is I think a lot
1371000	1373000	of people because like the
1373000	1375000	word server is so like overloaded
1375000	1377000	in like for us at
1377000	1379000	least because we
1381000	1383000	we try to solve like a more
1383000	1385000	general problem so
1385000	1387000	like server components for example
1387000	1389000	they can run during the
1389000	1391000	build right so it doesn't
1391000	1393000	mean that you literally need to like have
1393000	1395000	a server it's more like
1395000	1397000	the server client distinction
1397000	1399000	for us is just
1399000	1401000	the stuff that runs first and kind of
1401000	1403000	the stuff that runs later and so
1403000	1405000	the stuff that runs first that could run
1405000	1407000	during the build time or
1407000	1409000	where actually
1409000	1411000	it won't do and it also gets confusing
1411000	1413000	right because like client components
1413000	1415000	they kind of also run on the server
1415000	1417000	during like SSR
1417000	1419000	so it's not
1419000	1421000	exactly this like client
1421000	1423000	stuff is like in the browser server
1423000	1425000	stuff is like on the machine
1425000	1427000	it's more like just two stages and we need
1427000	1429000	some names for the stages
1429000	1431000	and we also want to support
1431000	1433000	running server components
1433000	1435000	on the client
1435000	1437000	of course you wouldn't be able to
1437000	1439000	read a database but it's just
1439000	1441000	using the same mental model
1441000	1443000	if you really don't have a server and
1443000	1445000	also you don't want to
1445000	1447000	you know generate things
1447000	1449000	at the build time but you want to structure
1449000	1451000	your code like in the same way so that
1451000	1453000	it's later possible to like extend
1453000	1455000	it or like port it
1455000	1457000	so it's really about the paradigm
1457000	1459000	of like this you know
1459000	1461000	two component types
1461000	1463000	rather than specific places where you put
1463000	1465000	them
1465000	1467000	yeah exactly and I've heard
1467000	1469000	the thought in the past
1469000	1471000	of like maybe it should have been called use
1471000	1473000	interactive or something like that
1473000	1475000	where it implies like I'm not a fan of
1475000	1477000	that personally but it
1477000	1479000	implies that it's adding things
1479000	1481000	that could basically
1481000	1483000	change state after the fact
1483000	1485000	it's not just passing things down through server
1485000	1487000	components and it's like
1487000	1489000	I get it I think my bigger
1489000	1491000	maybe not issue but
1491000	1493000	when you hear React server components you think server
1493000	1495000	immediately that's definitely a thing
1495000	1497000	but it really just means
1497000	1499000	thing that doesn't run in the browser
1499000	1501000	necessarily usually
1501000	1503000	you would do like a static build up front
1503000	1505000	and then ship anything down that you can
1505000	1507000	or if you want to stream and suspense
1507000	1509000	stuff then you can go
1509000	1511000	boot up the server and
1511000	1513000	Next.js is pretty graceful with that where it's like
1513000	1515000	actually figuring out what could
1515000	1517000	be sandwiched into a big cache and what
1517000	1519000	can't so you don't really have to think about that
1519000	1521000	but if you're building it on your own
1521000	1523000	I totally agree that server components
1523000	1525000	are just like
1525000	1527000	pre-rendering I think is one word I've heard
1527000	1529000	also like build time versus
1529000	1531000	server it could be either one
1531000	1533000	so build time components it just
1533000	1535000	depends where you're running it
1535000	1537000	yeah
1537000	1539000	it's confusing I think it's
1539000	1541000	one of those cases where everybody has
1541000	1543000	suggestions on how to name them but then
1543000	1545000	they don't seem
1545000	1547000	they all have weird cases
1547000	1549000	where it's not exactly true
1549000	1551000	and server client is
1551000	1553000	like
1553000	1555000	maybe this is one of those
1555000	1557000	cases where we just
1557000	1559000	redefine the terms
1559000	1561000	like rendering
1561000	1563000	in React rendering
1563000	1565000	doesn't mean updating the
1565000	1567000	the graphical
1567000	1569000	like it's a different concept
1569000	1571000	from rendering in graphics
1571000	1573000	programming because like in React I
1573000	1575000	re-render it doesn't mean that
1575000	1577000	a bunch of stuff actually changes on the screen
1577000	1579000	it just means we recompute what should
1579000	1581000	be on the screen and like maybe we change something
1581000	1583000	maybe we don't and so people have
1583000	1585000	intuitions like oh I have to avoid re-rendering
1585000	1587000	but actually you don't it's
1587000	1589000	just a question of like is it actually slow
1589000	1591000	if it's not slow you're fine
1591000	1593000	like everything is fine and so
1593000	1595000	we kind of hijacked this definition
1595000	1597000	like in React rendering means
1597000	1599000	something different and I feel like maybe
1599000	1601000	this is another example of like yeah we kind of
1601000	1603000	we need some words to describe
1603000	1605000	the relationship and these are the best words
1605000	1607000	we found but it's gonna
1607000	1609000	be a bit confusing and we haven't
1609000	1611000	found any better options so far
1611000	1613000	yeah
1613000	1615000	it goes all down the stack and
1615000	1617000	I work at Astro right now
1617000	1619000	and you know maintaining a meta framework
1619000	1621000	we were dealing with these really primitive ideas
1621000	1623000	where it's like you don't want to use
1623000	1625000	complicated names for this stuff you want it
1625000	1627000	to feel accessible but
1627000	1629000	it also needs to describe what it does
1629000	1631000	pretty well I also know
1631000	1633000	with React like a big debacle came around
1633000	1635000	use as just like a term
1635000	1637000	that you can use to unwrap
1637000	1639000	something that happens later
1639000	1641000	and like I'm getting used
1641000	1643000	to it I suggested
1643000	1645000	unwrap and people are like well not always
1645000	1647000	sometimes use is used for this
1647000	1649000	use use that's also
1649000	1651000	a thing so it's hard
1651000	1653000	you want it to be simple and you want
1653000	1655000	it to encompass whatever use
1655000	1657000	cases it's actually trying to do
1657000	1659000	and yeah I feel like at
1659000	1661000	least with server components it strikes a decent
1661000	1663000	balance of like you're gonna think about this differently
1663000	1665000	it's not running in the client
1665000	1667000	yeah I think
1667000	1669000	sometimes
1669000	1671000	I don't know
1671000	1673000	maybe we'll come to regret this but I
1673000	1675000	think sometimes you
1675000	1677000	you know when people
1677000	1679000	talk about oh like I wish this was
1679000	1681000	more explicit
1681000	1683000	I think one thing we've noticed is that people
1683000	1685000	always say that in the beginning
1685000	1687000	and then six months later everyone is
1687000	1689000	like oh I want like a shortcut I want
1689000	1691000	to you know this term is too long or
1691000	1693000	it's like API name like I know what
1693000	1695000	it is already why do I have to type all
1695000	1697000	of this and so we
1697000	1699000	kind of I think we discount a little
1699000	1701000	bit of this initial knee-jerk reaction
1701000	1703000	because we just know yeah you know when
1703000	1705000	it's a common thing it's gonna feel different
1705000	1707000	like for example with use
1707000	1709000	like yeah I just gonna search for react use
1709000	1711000	that's gonna be like a top result in Google
1711000	1713000	because like we have enough
1713000	1715000	like mode to
1715000	1717000	you know to actually bubble up
1717000	1719000	so I think that helps
1721000	1723000	but it's also sometimes
1723000	1725000	sometimes you just
1725000	1727000	can't have an intuitive term because
1727000	1729000	the whole idea is different and
1729000	1731000	you might as well kind of
1731000	1733000	realize that
1733000	1735000	no this doesn't make sense I need to like
1735000	1737000	sit down and understand what this is about
1737000	1739000	none of my intuitions are
1739000	1741000	helping and like that's fine that's
1741000	1743000	because it's a new thing it is different
1743000	1745000	like it's good if you realize
1745000	1747000	that it's different
1747000	1749000	yeah I definitely think
1749000	1751000	it's signaling that but the
1751000	1753000	main thing people are wondering which I'm hoping
1753000	1755000	we can get through like with the live
1755000	1757000	coding today is like up until
1757000	1759000	now I've been able to just
1759000	1761000	spin up you know V or something like
1761000	1763000	that put a div with an ID of
1763000	1765000	main and hydrate a thing
1765000	1767000	in there and now we're basically saying
1767000	1769000	no there's there's more than that if you
1769000	1771000	really want to think about it this way having set
1771000	1773000	up my own service for
1773000	1775000	a week I can
1775000	1777000	say there is more to it and
1777000	1779000	I don't know if the react
1779000	1781000	team has any opinions on that right now of like
1781000	1783000	is DIY server components
1783000	1785000	something that's like does it matter
1785000	1787000	is it something we need or
1787000	1789000	is next.js just the way you should try it
1789000	1791000	yeah I think
1791000	1793000	so well there's
1793000	1795000	a bunch of different things there so
1795000	1797000	yeah I think like one thing
1797000	1799000	question yeah because like you kind
1799000	1801000	of alluded to this thing like I can
1801000	1803000	just like have a div and like put something
1803000	1805000	in there and so I think that
1805000	1807000	was more about not about
1807000	1809000	frameworks per se it was about like
1809000	1811000	client only versus
1811000	1813000	like build time or
1813000	1815000	SSR and so I think
1815000	1817000	like that's that's one question
1817000	1819000	the other question is like
1819000	1821000	do you know do it yourself
1821000	1823000	set up versus like a
1823000	1825000	framework or like should there be one
1825000	1827000	framework or many and I think that's that's a separate
1827000	1829000	question so which which one
1829000	1831000	which one of those do you want to go into
1833000	1835000	I'm more interested in the second one I guess
1835000	1837000	because the first one I've already
1837000	1839000	I pretty much agreed like yeah
1839000	1841000	I probably wouldn't point people to
1841000	1843000	just feed and react or
1843000	1845000	create react app to build something
1845000	1847000	I would if you're going to deploy it
1847000	1849000	anywhere I'm probably going to point you
1849000	1851000	to next.js or astro or
1851000	1853000	more likely next.js if you really want to
1853000	1855000	try server components
1855000	1857000	I think like on the first one my
1857000	1859000	perspective is that
1859000	1861000	and I mean that that's also
1861000	1863000	by you know we know that
1863000	1865000	the recommendation change was
1865000	1867000	pretty controversial
1867000	1869000	but we also didn't try to motivate it
1869000	1871000	like we do have like a deep dive there
1871000	1873000	that's like can I use react without the framework
1873000	1875000	sure yeah I think
1875000	1877000	it's a really nice documentation page
1877000	1879000	looking through it
1879000	1881000	the specific thing I think
1881000	1883000	that gets a bit lost is like
1883000	1885000	nobody
1885000	1887000	is you know it's not
1887000	1889000	about like the push
1889000	1891000	like the reason we don't suggest
1891000	1893000	Vite is
1893000	1895000	an option for you know you want to make
1895000	1897000	an app fully with react use Vite
1897000	1899000	like the reason we don't say this is
1899000	1901000	again because like default Vite
1901000	1903000	you know when you say Vite you probably
1903000	1905000	mean like a template that's blindside
1905000	1907000	only because if you use like a template
1907000	1909000	that has SSR and a bunch of other
1909000	1911000	stuff let's be real it is a framework
1911000	1913000	it's not a template
1913000	1915000	like it's an ad hoc framework
1915000	1917000	that is maybe a good framework but
1917000	1919000	if you compare it in terms of usage
1919000	1921000	community it's like a very
1921000	1923000	niche framework with you know
1923000	1925000	a very small community which is maybe
1925000	1927000	what you want but let's not fool ourselves
1927000	1929000	saying that this isn't
1929000	1931000	a framework and then if we talk
1931000	1933000	about like a default Vite setup with
1933000	1935000	this just like blindside
1935000	1937000	only the problem with this is
1937000	1939000	it's not that client
1939000	1941000	only is bad I don't think that's true
1941000	1943000	I think like for some cases it totally makes
1943000	1945000	sense it's more
1945000	1947000	that you're kind of
1947000	1949000	locking yourself into this
1949000	1951000	setup it's like let's say like later
1951000	1953000	you want to add a landing page
1953000	1955000	and you want the landing page
1955000	1957000	to have HTML in it and
1957000	1959000	because it's like it's silly not
1959000	1961000	to like why would you not have
1961000	1963000	HTML in a webpage
1963000	1965000	it's like it's better for SEO
1965000	1967000	sure like crawlers can understand
1967000	1969000	JavaScript but like not as fast
1969000	1971000	it's like better for
1971000	1973000	just like your users you don't have to
1973000	1975000	download the bundle to like show anything
1975000	1977000	and there are many
1977000	1979000	of these like benefits like you
1979000	1981000	you don't have like to spin up
1981000	1983000	like a separate project with like a static site
1983000	1985000	generator you just add a page
1985000	1987000	for this page you use
1987000	1989000	kind of you know static
1989000	1991000	static build whereas for
1991000	1993000	another page maybe you like opt
1993000	1995000	out and you return like
1995000	1997000	just a shell or like even
1997000	1999000	null for the server pass
1999000	2001000	for the build pass
2001000	2003000	then you do client only so it's
2003000	2005000	really about like encouraging you to use
2005000	2007000	a tool that lets you
2007000	2009000	even start with client only
2009000	2011000	but then the moment you want to have a page
2011000	2013000	or like a part of your
2013000	2015000	even enhance existing
2015000	2017000	pages
2017000	2019000	to be like generated at build time
2019000	2021000	or the server features
2021000	2023000	you don't have to migrate to another tool
2023000	2025000	you don't have to like redo your whole project
2025000	2027000	because your router wasn't designed
2027000	2029000	for this it's kind of like
2029000	2031000	it's also kind of like you used to put
2031000	2033000	the router inside
2033000	2035000	the you know your react app
2035000	2037000	and this is kind of like no the router
2037000	2039000	belongs outside
2039000	2041000	because if you put the router outside
2041000	2043000	then that lets you have like multiple
2043000	2045000	pages that are automatically
2045000	2047000	code split that have all these like different
2047000	2049000	optimization modes
2049000	2051000	it's really about like architectural question of pulling it out
2051000	2053000	so this is why
2053000	2055000	yeah this is why we don't recommend
2055000	2057000	the you know even though if you
2057000	2059000	want to do client side rendering only
2059000	2061000	that's fine but we do recommend
2061000	2063000	to do it in a way that lets you
2063000	2065000	enhance it with
2065000	2067000	build time or server logic later if you
2067000	2069000	want to
2069000	2071000	which kind of goes back to that point of like server
2071000	2073000	components can run in multiple ways
2073000	2075000	and you don't want a tool that just locks you
2075000	2077000	into one like I've definitely
2077000	2079000	had well at least for
2079000	2081000	most of the things I build I think this could
2081000	2083000	go on serverless if I just had
2083000	2085000	one query per RAM I could put this on something
2085000	2087000	and it would be way better and I don't
2087000	2089000	want to change frameworks to do that I just want to flip
2089000	2091000	a switch and this route is now on SSR
2091000	2093000	which is something a lot of
